feat,weight
♡,1.324538469527597
私,0.9169020869532001
わたし,0.7897923343336368
旦那,0.7457730900691163
夫,0.7454171521016179
レッスン,0.6935610159636286
サロン,0.6384035699428735
けれど,0.5965550283183652
とっても,0.5553639600981528
お天気,0.5292452303492381
かしら,0.5287740976489207
ネイル,0.525340573960775
主人,0.513612965656364
お,0.5115605785431225
可愛い,0.506595903190249
ママ,0.49191194706314645
❤,0.47865304641255346
母,0.4741741798110429
💕,0.42455571991262137
素敵,0.42182504777168944
あたし,0.42005932550006403
肌,0.41360751073304747
お花,0.3991545692085564
お仕事,0.3964833058249293
教室,0.35487950622665543
講座,0.34756205759652237
息子,0.3464960751597148
大好き,0.34158884152044944
かわいい,0.3388393820934792
私たち,0.3359903798931883
娘,0.32844890565936924
ピンク,0.3256771321977455
くださっ,0.32522101614127685
皆さま,0.3241708452932865
旦那さん,0.321719676606944
我が家,0.31330081642185925
メイク,0.29925990168023764
ー,0.29897264714866745
みなさま,0.2965157790271489
〜,0.29627108567092225
＊,0.295916016790489
嵐,0.29018226154572163
ランチ,0.28735634586131853
私達,0.28278663499577616
*,0.28077867433725795
予約,0.27397089740404273
♥,0.27214295829113216
洋服,0.2678679560530268
アロマ,0.2672014624684004
作りました,0.2660741760641363
