feat,weight
090,0.46869700496024513
ワタ,0.4220972036835958
今朝,0.40913485655317283
。,0.3946749061333441
問合せ,0.3874166946403615
昨夜,0.3826872667586192
ヨ・ロ・シ・ク,0.3736209427198663
nan,0.365483767505864
講座,0.3471967041624147
ﾃﾞｽ,0.34041151860137764
トラコミュ,0.3394456399779134
今夜,0.3377496477994312
娘,0.3191253835420518
息子,0.31490120383630466
～。,0.30623789353270536
ポチッと,0.303640778394791
❗,0.2979114764842302
ヒーリング,0.29456921338976594
ウス,0.2934407292645699
我が家,0.27598058199659686
フェイスブック,0.2751188722625305
にほんブログ村,0.27149659829285605
セミナー,0.2591025589301463
社長,0.25144577085367553
鑑定,0.24917632449147215
棚橋,0.249041018869196
Amazon,0.24718283752372494
あーや,0.2465900583355906
アロマ,0.24626384808277954
🎵,0.24268408683456943
長女,0.2423695387073924
丁目,0.24072156383065602
花,0.2399704999579996
シ,0.23947106668024049
ﾎﾟﾁ,0.23889488884048724
子供たち,0.23593053655875904
ねぇ,0.2314064369505506
ワークショップ,0.2295855041115869
どうぞ,0.22707319883854996
サロン,0.22616156905097134
励み,0.22584363230140841
事,0.22519106987072096
セラピー,0.2237166217466936
もん,0.22165329802400022
ココロ,0.22121083517153295
又,0.22025758132803844
ヨガ,0.21887774927898362
以前,0.21797551885872712
ほな,0.21702171261473913
サービス,0.2169689790016434
